d,eccentricity,overlap,seed,n_samples,n_components,n_seeds_total,algorithm,ARI,NMI,fit_time,mean_loglik,silhouette,davies_bouldin,calinski_harabasz
2,10,0.0,1,500,3,3,KMeans,1.0,1.0,0.2598724365234375,,0.8001324630478852,0.2669122446049359,3298.4961805723433
2,10,0.0,2,500,3,3,GMM,0.9879762948044486,0.9801906510597234,0.04052734375,-3.3656096364563153,0.8020260843022124,0.2700139976035713,3227.301013831843
2,10,0.0,2,500,3,3,KMeans,0.9879762948044486,0.9801906510597234,0.2504539489746094,,0.8020260843022124,0.2700139976035713,3227.301013831843
2,10,0.2,0,500,3,3,GMM,1.0,1.0,0.08454561233520508,-3.331840733135188,0.7499836841977808,0.3289069417364244,2199.547855430682
2,10,0.2,0,500,3,3,KMeans,0.9879762948044486,0.9801906510597234,0.20821499824523926,,0.7501006066442099,0.3316772740429326,2200.8601500268237
2,10,0.2,1,500,3,3,GMM,1.0,1.0,0.06272006034851074,-3.319662051623793,0.7521710101284034,0.32564283744372563,2215.2435006684614
2,10,0.2,1,500,3,3,KMeans,0.9820196457415075,0.972508749315855,0.2706441879272461,,0.7543189481988007,0.3268561203742955,2256.0422887912364
2,10,0.2,2,500,3,3,GMM,0.9879762948044486,0.9801906510597234,0.09547138214111328,-3.3545313002583095,0.7587863510594846,0.3252612662613326,2228.742708335064
2,10,0.2,2,500,3,3,KMeans,0.9879762948044486,0.9801906510597234,0.14751863479614258,,0.7587863510594846,0.3252612662613326,2228.742708335064
2,10,0.4,0,500,3,3,GMM,0.9761000871161618,0.9654473703197342,0.04874920845031738,-3.312767196345298,0.6780765525071515,0.42262236809487835,1380.1651537954
2,10,0.4,0,500,3,3,KMeans,0.9464265601480273,0.9193041685913598,0.5671103000640869,,0.6791111418954442,0.420254728794009,1394.2293855090716
2,10,0.4,1,500,3,3,GMM,0.9820196457415075,0.972508749315855,0.16018247604370117,-3.3047382770425267,0.6842798960415141,0.41509969457187573,1413.8127961524822
2,10,0.4,1,500,3,3,KMeans,0.9344944650355113,0.9079884350323107,0.17692208290100098,,0.6875121963020168,0.4147316583982816,1457.7754934508189
2,10,0.4,2,500,3,3,GMM,0.9700500434219901,0.9467254804527314,0.08625650405883789,-3.3334958624439968,0.6894560964972692,0.4132862463334692,1402.3958098683433
2,10,0.4,2,500,3,3,KMeans,0.9700323760229831,0.9501874854936684,0.4671602249145508,,0.6897900397216307,0.4118806451171842,1404.558781031375
2,10,0.6,0,500,3,3,GMM,0.8653839445551682,0.8447832595817474,0.16643333435058594,-3.235945045514701,0.5805450338532172,0.5641110374242054,821.5993341743759
2,10,0.6,0,500,3,3,KMeans,0.8027231484432937,0.7705351094824434,0.428508996963501,,0.5923261159434411,0.5457921566370836,888.2638028237448
2,10,0.6,1,500,3,3,GMM,0.9291247713162301,0.8960900450908151,0.11730766296386719,-3.2415680002977036,0.5705699881350399,0.5586102365668025,784.9971035357289
2,10,0.6,1,500,3,3,KMeans,0.7851139668964633,0.7710851108088608,0.18413662910461426,,0.5968884762073227,0.539740117436799,914.047531965414
2,10,0.6,2,500,3,3,GMM,0.865566990981002,0.8064306128439995,0.04752016067504883,-3.24537908406595,0.5836289657579224,0.5553722296561158,809.7180195553169
